Entity_ID,Entity_Name,Entity_Type,Department,Category,File_Path,Count,Status,ISO_Code,Notes
RSP-001,Core Responsibilities,Responsibilities,Multi-Department,Core,LIBRARIES/Responsibilities/Core/responsibilities.json,193,Active,RSP,Master responsibilities file
ACT-001,Actions Master,Actions,Multi-Department,Master,LIBRARIES/Responsibilities/Actions/Master/actions_master.json,429,Active,ACT,Complete actions catalog
SKL-001,Skills Master,Skills,Multi-Department,Master,LIBRARIES/LBS_004_LBS_004_../TALENTS/Skills/Master/all_skills.json,28,Active,SKL,Complete skills catalog
TOL-001,AI Tools Master Listing,Tools,AI,Category,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/AI_Tools_Master_Listing.json,80,Active,TOL-AIA,Complete AI tools catalog
TOOL-AI-071,Adobe Firefly,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Adobe_Firefly.json,1,Active,TOOL-AI-071,AI Tool: Adobe Firefly
TOOL-AI-082,Arcade.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Arcade_ai.json,1,Active,TOOL-AI-082,AI Tool: Arcade.ai
TOOL-AI-097,Archon,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Archon.json,1,Active,TOOL-AI-097,AI Tool: Archon
TOOL-113,arXiv,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/arXiv.json,1,Active,TOOL-113,AI Tool: arXiv
TOOL-AI-089,Browserbase,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Browserbase.json,1,Active,TOOL-AI-089,AI Tool: Browserbase
TOOL-AI-057,Bubble.io,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Bubble_io.json,1,Active,TOOL-AI-057,AI Tool: Bubble.io
TOOL-AI-002,ChatGPT (OpenAI),Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ChatGPT.json,1,Active,TOOL-AI-002,AI Tool: ChatGPT (OpenAI)
TOOL-AI-029,Claude,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude.json,1,Active,TOOL-AI-029,AI Tool: Claude
TOOL-AI-030,Claude Desktop App,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude_Desktop_App.json,1,Active,TOOL-AI-030,AI Tool: Claude Desktop App
TOOL-AI-051,Claude Projects,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude_Projects.json,1,Active,TOOL-AI-051,AI Tool: Claude Projects
TOOL-AI-090,CodeRabbit,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/CodeRabbit.json,1,Active,TOOL-AI-090,AI Tool: CodeRabbit
TOOL-AI-040,ComfyUI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ComfyUI.json,1,Active,TOOL-AI-040,AI Tool: ComfyUI
TOOL-AI-045,Cove.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Cove_ai.json,1,Active,TOOL-AI-045,AI Tool: Cove.ai
TOOL-AI-085,Crawl4AI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Crawl4AI.json,1,Active,TOOL-AI-085,AI Tool: Crawl4AI
TOOL-AI-094,CrewAI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/CrewAI.json,1,Active,TOOL-AI-094,AI Tool: CrewAI
TOOL-AI-041,Cursor,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Cursor.json,1,Active,TOOL-AI-041,AI Tool: Cursor
TOOL-116,Custom_Prompt_Templates,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Custom_Prompt_Templates.json,1,Active,TOOL-116,AI Tool: Custom_Prompt_Templates
TOOL-AI-042,DeepSite,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/DeepSite.json,1,Active,TOOL-AI-042,AI Tool: DeepSite
TOOL-AI-084,Docling,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Docling.json,1,Active,TOOL-AI-084,AI Tool: Docling
TOOL-DESIGN-001,Dribbble,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Dribbble.json,1,Active,TOOL-DESIGN-001,AI Tool: Dribbble
TOOL-112,Dropbox_Dash,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Dropbox_Dash.json,1,Active,TOOL-112,AI Tool: Dropbox_Dash
TOOL-AI-008,ElevenLabs,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ElevenLabs.json,1,Active,TOOL-AI-008,AI Tool: ElevenLabs
TOOL-AI-073,Envato Elements,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Envato_Elements.json,1,Active,TOOL-AI-073,AI Tool: Envato Elements
TOOL-AI-053,Flux,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Flux.json,1,Active,TOOL-AI-053,AI Tool: Flux
TOOL-AI-054,Flux Kontext,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Flux_Kontext.json,1,Active,TOOL-AI-054,AI Tool: Flux Kontext
TOOL-AI-072,Freepik,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Freepik.json,1,Active,TOOL-AI-072,AI Tool: Freepik
TOOL-AI-044,Gamma.app,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Gamma_app.json,1,Active,TOOL-AI-044,AI Tool: Gamma.app
TOOL-AI-003,Gemini,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Gemini.json,1,Active,TOOL-AI-003,AI Tool: Gemini
TOOL-AI-079,Gemini File Search API,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Gemini_File_Search.json,1,Active,TOOL-AI-079,AI Tool: Gemini File Search API
TOOL-AI-046,Genspark.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Genspark_ai.json,1,Active,TOOL-AI-046,AI Tool: Genspark.ai
TOOL-110,GitHub Copilot,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/GitHub_Copilot.json,1,Active,TOOL-110,AI Tool: GitHub Copilot
TOOL-AI-045,GLIF,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/GLIF.json,1,Active,TOOL-AI-045,AI Tool: GLIF
TOOL-AI-049,Google AI Studio,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Google_AI_Studio.json,1,Active,TOOL-AI-049,AI Tool: Google AI Studio
TOOL-AI-051,Google Veo 3.1,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Google_Veo_3_1.json,1,Active,TOOL-AI-051,AI Tool: Google Veo 3.1
TOOL-AI-087,Graphiti,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Graphiti.json,1,Active,TOOL-AI-087,AI Tool: Graphiti
TOOL-AI-043,Grok,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Grok.json,1,Active,TOOL-AI-043,AI Tool: Grok
TOOL-AI-083,Langfuse,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Langfuse.json,1,Active,TOOL-AI-083,AI Tool: Langfuse
TOOL-AI-081,LangGraph,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/LangGraph.json,1,Active,TOOL-AI-081,AI Tool: LangGraph
TOOL-AI-007,Leonardo.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Leonardo_AI.json,1,Active,TOOL-AI-007,AI Tool: Leonardo.ai
TOOL-115,LLM_as_Judge_Evaluation_Framework,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/LLM_as_Judge_Evaluation_Framework.json,1,Active,TOOL-115,AI Tool: LLM_as_Judge_Evaluation_Framework
TOOL-AI-054,Loom,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Loom.json,1,Active,TOOL-AI-054,AI Tool: Loom
TOOL-AI-040,Lovable.dev,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Lovable_dev.json,1,Active,TOOL-AI-040,AI Tool: Lovable.dev
TOOL-AI-059,Maestra.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Maestra_ai.json,1,Active,TOOL-AI-059,AI Tool: Maestra.ai
TOOL-AI-058,Manus.im,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Manus_im.json,1,Active,TOOL-AI-058,AI Tool: Manus.im
TOOL-AI-031,MCP Builder (Skill),Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/MCP_Builder_Skill.json,1,Active,TOOL-AI-031,AI Tool: MCP Builder (Skill)
TOOL-AI-086,Mem0,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Mem0.json,1,Active,TOOL-AI-086,AI Tool: Mem0
TOOL-AI-006,Midjourney,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Midjourney.json,1,Active,TOOL-AI-006,AI Tool: Midjourney
TOOL-AI-052,MiniMax,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/MiniMax.json,1,Active,TOOL-AI-052,AI Tool: MiniMax
TOOL-AI-046,Nano Banana,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Nano_Banana.json,1,Active,TOOL-AI-046,AI Tool: Nano Banana
TOOL-AI-005,NotebookLM,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/NotebookLM.json,1,Active,TOOL-AI-005,AI Tool: NotebookLM
TOOL-AI-070,Notion AI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Notion_AI.json,1,Active,TOOL-AI-070,AI Tool: Notion AI
TOOL-AI-091,Ollama,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Ollama.json,1,Active,TOOL-AI-091,AI Tool: Ollama
TOOL-AI-028,OpenAI GPT-5,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/OpenAI_GPT5.json,1,Active,TOOL-AI-028,AI Tool: OpenAI GPT-5
TOOL-AI-052,OpenArt,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/OpenArt.json,1,Active,TOOL-AI-052,AI Tool: OpenArt
TOOL-AI-056,OpenArt Photorealistic,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/OpenArt_Photorealistic.json,1,Active,TOOL-AI-056,AI Tool: OpenArt Photorealistic
TOOL-AI-066,OpenRouter,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/OpenRouter.json,1,Active,TOOL-AI-066,AI Tool: OpenRouter
TOOL-AI-092,Open WebUI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Open_WebUI.json,1,Active,TOOL-AI-092,AI Tool: Open WebUI
TOOL-AI-004,Perplexity,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Perplexity.json,1,Active,TOOL-AI-004,AI Tool: Perplexity
TOOL-AI-064,Pollo.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Pollo_ai.json,1,Active,TOOL-AI-064,AI Tool: Pollo.ai
TOOL-AI-080,Pydantic AI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Pydantic_AI.json,1,Active,TOOL-AI-080,AI Tool: Pydantic AI
TOOL-AI-088,Ragas,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Ragas.json,1,Active,TOOL-AI-088,AI Tool: Ragas
TOOL-AI-041,Replit,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Replit.json,1,Active,TOOL-AI-041,AI Tool: Replit
TOOL-AI-051,Runner,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Runner.json,1,Active,TOOL-AI-051,AI Tool: Runner
TOOL-AI-093,SearXNG,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/SearXNG.json,1,Active,TOOL-AI-093,AI Tool: SearXNG
TOOL-AI-055,Seedream 4.0,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Seedream_4_0.json,1,Active,TOOL-AI-055,AI Tool: Seedream 4.0
TOOL-AI-047,Smithery.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Smithery_ai.json,1,Active,TOOL-AI-047,AI Tool: Smithery.ai
TOOL-AI-032,Sonnet 4.5,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Sonnet_45.json,1,Active,TOOL-AI-032,AI Tool: Sonnet 4.5
TOOL-AI-060,Suno,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Suno.json,1,Active,TOOL-AI-060,AI Tool: Suno
TOOL-AI-061,TurboScribe,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/TurboScribe.json,1,Active,TOOL-AI-061,AI Tool: TurboScribe
TOOL-AI-055,v0.dev,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/v0_dev.json,1,Active,TOOL-AI-055,AI Tool: v0.dev
TOOL-AI-065,Vectal Pro,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Vectal_Pro.json,1,Active,TOOL-AI-065,AI Tool: Vectal Pro
TOOL-DEV-001,Vite,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Vite.json,1,Active,TOOL-DEV-001,AI Tool: Vite
TOOL-AI-069,WHALESWING,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/WHALESWING.json,1,Active,TOOL-AI-069,AI Tool: WHALESWING
TOOL-AI-062,Wispr Flow,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Wispr_Flow.json,1,Active,TOOL-AI-062,AI Tool: Wispr Flow
TOOL-AI-096,Zep,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Zep.json,1,Active,TOOL-AI-096,AI Tool: Zep
TOOL-DEV-001,Auth0,Tools,Development,Authentication Tools,LIBRARIES/LBS_003_LBS_003_Tools/Authentication_LBS_003_Tools/Auth0.json,1,Active,TOOL-DEV-001,Tool: Auth0
TOOL-AIA-103,AmpleLeads,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/AmpleLeads.json,1,Active,TOOL-AIA-103,Tool: AmpleLeads
TOOL-AIA-105,ExportApollo,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/ExportApollo.json,1,Active,TOOL-AIA-105,Tool: ExportApollo
TOOL-AIA-104,LeadsRapidly,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/LeadsRapidly.json,1,Active,TOOL-AIA-104,Tool: LeadsRapidly
TOOL-AIA-107,Make.com,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/Make_com.json,1,Active,TOOL-AIA-107,Tool: Make.com
TOOL-AIA-106,n8n,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/n8n.json,1,Active,TOOL-AIA-106,Tool: n8n
TOOL-AIA-102,Vayne,Tools,Operations,Automation Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Automation/Vayne.json,1,Active,TOOL-AIA-102,Tool: Vayne
TOOL-SLS-016,Apollo.io,Tools,Operations,Business Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Business/Apollo_io.json,1,Active,TOOL-SLS-016,Tool: Apollo.io
TOOL-SLS-050,Discord,Tools,Operations,Business Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Business/Discord.json,1,Active,TOOL-SLS-050,Tool: Discord
TOOL-SLS-017,Instantly.ai,Tools,Operations,Business Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Business/Instantly_ai.json,1,Active,TOOL-SLS-017,Tool: Instantly.ai
TOOL-DEV-004,Azure,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/Azure.json,1,Active,TOOL-DEV-004,Tool: Azure
TOOL-DEV-002,DigitalOcean,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/DigitalOcean.json,1,Active,TOOL-DEV-002,Tool: DigitalOcean
TOOL-DEV-003,Hugging Face,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/Hugging_Face.json,1,Active,TOOL-DEV-003,Tool: Hugging Face
TOOL-DEV-004,Model Scope,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/Model_Scope.json,1,Active,TOOL-DEV-004,Tool: Model Scope
TOOL-DEV-001,Render,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/Render.json,1,Active,TOOL-DEV-001,Tool: Render
TOOL-DEV-003,RunPod,Tools,Operations,Cloud Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms/RunPod.json,1,Active,TOOL-DEV-003,Tool: RunPod
TOOL-DEV-001,Neo4j,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Neo4j.json,1,Active,TOOL-DEV-001,Tool: Neo4j
TOOL-DEV-005,Neon,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Neon.json,1,Active,TOOL-DEV-005,Tool: Neon
TOOL-DEV-006,PGVector,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/PGVector.json,1,Active,TOOL-DEV-006,Tool: PGVector
TOOL-DEV-002,PostgreSQL,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Postgres.json,1,Active,TOOL-DEV-002,Tool: PostgreSQL
TOOL-DEV-003,Redis,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Redis.json,1,Active,TOOL-DEV-003,Tool: Redis
TOOL-DEV-004,Supabase,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Supabase.json,1,Active,TOOL-DEV-004,Tool: Supabase
TOOL-DEV-007,Valkey,Tools,Development,Databases,LIBRARIES/LBS_003_LBS_003_Tools/Databases/Valkey.json,1,Active,TOOL-DEV-007,Tool: Valkey
TOOL-DEV-006,Airscale,Tools,Development,Data Tools,LIBRARIES/LBS_003_LBS_003_Tools/Data_LBS_003_Tools/Airscale.json,1,Active,TOOL-DEV-006,Tool: Airscale
TOOL-DEV-007,Anymailfinder,Tools,Development,Data Tools,LIBRARIES/LBS_003_LBS_003_Tools/Data_LBS_003_Tools/Anymailfinder.json,1,Active,TOOL-DEV-007,Tool: Anymailfinder
TOOL-DEV-008,Bright Data,Tools,Development,Data Tools,LIBRARIES/LBS_003_LBS_003_Tools/Data_LBS_003_Tools/Bright_Data.json,1,Active,TOOL-DEV-008,Tool: Bright Data
TOOL-DEV-001,GitHub,Tools,Multi-Department,Developer Platforms,LIBRARIES/LBS_003_LBS_003_Tools/Developer_Platforms/GitHub.json,1,Active,TOOL-DEV-001,Tool: GitHub
TOOL-DEV-038,Apify,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify.json,1,Active,TOOL-DEV-038,Tool: Apify
TOOL-DEV-040,Apify Google Maps Scraper,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify_Google_Maps_Scraper.json,1,Active,TOOL-DEV-040,Tool: Apify Google Maps Scraper
TOOL-DEV-039,Apify Google SERP Scraper,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify_Google_SERP_Scraper.json,1,Active,TOOL-DEV-039,Tool: Apify Google SERP Scraper
TOOL-DEV-042,Apify Instagram Scraper,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify_Instagram_Scraper.json,1,Active,TOOL-DEV-042,Tool: Apify Instagram Scraper
TOOL-DEV-041,Apify LinkedIn Jobs Scraper,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify_LinkedIn_Jobs_Scraper.json,1,Active,TOOL-DEV-041,Tool: Apify LinkedIn Jobs Scraper
TOOL-DEV-043,Apify TikTok Scraper,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Apify_TikTok_Scraper.json,1,Active,TOOL-DEV-043,Tool: Apify TikTok Scraper
TOOL-DEV-052,Claude Code,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Claude_Code.json,1,Active,TOOL-DEV-052,Tool: Claude Code
TOOL-DEV-044,Cursor,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Cursor.json,1,Active,TOOL-DEV-044,Tool: Cursor
TOOL-DEV-005,Docker,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/Docker.json,1,Active,TOOL-DEV-005,Tool: Docker
TOOL-DEV-002,FastAPI,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/FastAPI.json,1,Active,TOOL-DEV-002,Tool: FastAPI
TOOL-DEV-006,GitHub Actions,Tools,Development,Development Tools,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/Development/GitHub_Actions.json,1,Active,TOOL-DEV-006,Tool: GitHub Actions
